ID,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q17,Q18,Q19,Q20,Q21,Q23,Q26,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
1691,6,2,,1,1,1,1,,,,1,,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,,,,1,1,,,1,1,1,,,1,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,1,,,,1,,1,,1,,1,,,,1,,,1,,,,1,,1,,1,,,1,,,,,15,1,3,2,8,2,4,3,1,1,7,7,1,6,7,1,1
1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,2,1,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,41,3,3,2,8,3,1,4,1,7,1,7,6,7,1,7,1
1694,5,2,,,,1,1,,1,,,,,,,1,,1,,1,1,,1,1,1,1,1,,1,,1,,,,,,,,,,1,,1,,,,,,,1,,1,1,1,,,,,1,,,1,1,,,1,,1,,,,,,1,1,1,,,,,,,,,1,1,,1,1,1,1,,,,1,,,,,,,,21,2,9,7,1,5,1,3,1,5,2,7,1,6,4,4,1
1695,6,2,,1,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,1,1,,1,,,1,1,,,1,,,,1,,,,,,,1,,1,,,54,3,15,13,10,5,1,2,4,6,1,2,6,6,1,6,3
1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,7,2,,,1,1,1,,1,,1,1,,,,1,,1,,,,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,,,1,1,1,1,,1,,,,,,,,,,,,,1,,,1,,,,1,,,,1,1,1,,,,,1,,,1,,,,1,1,,,,1,,1,,1,1,1,1,,1,1,1,1,,34,3,16,12,11,2,1,5,1,6,3,7,5,5,1,6,3
1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,2,1,,1,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,1,,49,5,2,1,1,6,5,2,4,3,7,4,6,4,6,2,5
1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,2,1,,1,,,1,,,,,,,1,,,,,1,,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,,1,,1,,33,2,16,16,11,3,6,4,3,6,2,7,5,7,1,5,6
1704,2,1,,,1,,,,,,,1,1,,,,,,,,,1,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,28,3,2,1,1,2,2,5,6,2,6,4,2,3,6,2,2
1705,1,2,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,20,2,9,7,1,4,4,2,1,6,3,2,2,1,1,4,2
1706,3,1,,,,,1,,,,,,1,1,,,,,,1,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,23,2,6,4,7,5,1,1,4,6,5,4,7,4,1,5,4
1707,2,1,,,,,1,,1,,1,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,45,2,8,6,3,5,1,6,1,7,5,4,3,5,5,6,4
1708,2,1,,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,65,3,11,9,5,5,9,6,5,5,2,5,4,5,2,5,2
1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,3,2,,,,1,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,22,2,8,6,3,3,4,3,3,6,5,6,4,5,3,3,2
1716,3,2,,,1,1,1,,,,,1,1,,,,,1,,1,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,21,1,10,8,4,3,4,4,2,3,5,4,5,5,5,4,1
1717,2,1,,1,,1,,,1,,1,,1,1,,,1,1,1,1,,1,1,,1,1,1,1,1,,,,,1,1,,1,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,20,1,2,1,1,2,4,3,4,5,4,6,6,5,6,5,3
1718,1,1,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,75,3,11,9,5,5,6,4,4,5,4,5,4,5,3,5,4
1719,4,2,,,,1,1,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,1,,,,,1,,1,,,,1,1,,,,45,2,2,1,1,3,1,2,5,5,6,4,6,6,6,2,4
1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,2,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,64,3,7,5,2,5,8,6,5,5,4,5,5,5,4,4,5
1723,3,1,,,,,1,,1,1,,,,,1,,,1,,,,1,,,1,1,,,,,,,1,,,1,,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,1,1,,,,,1,1,1,,1,,,1,,,1,1,,1,,,,,1,1,,,1,1,,1,,33,1,8,6,3,4,1,1,5,7,6,6,1,5,1,3,2
1724,3,1,,,1,1,,,,,,1,1,,,,,,,,,1,1,,1,,,,,,,,1,,,,1,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,1,,,,1,1,1,,,,,,,,,1,,20,1,4,14,1,5,4,5,4,7,3,5,3,6,3,6,3
1725,3,1,,,1,,,,,,,,,,1,,,,,,,1,1,1,,,1,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,50,4,4,14,1,5,5,1,2,6,6,4,4,6,1,7,4
1726,6,2,,,1,1,,,,,1,,,1,,1,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,1,,,,,1,,,,,,1,,,,1,,,,,,,,17,2,14,11,6,2,4,6,3,5,1,5,3,5,1,5,2
1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,2,2,,,,1,,,,,,1,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,50,3,7,5,2,3,1,3,2,6,5,3,5,6,1,6,4
1729,4,1,,1,,,,,1,,,,,1,,,,1,,,,,,1,1,1,,,,,,,1,,,,,,,,1,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,1,1,,1,,,1,,,,1,,,1,,,,1,,1,,1,1,,1,,,,1,,,1,1,,,,60,5,2,1,1,3,8,6,2,6,3,7,2,6,2,5,2
1730,6,2,,,1,1,,,1,,,1,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,,,,1,,,1,1,,,,20,1,8,6,3,3,2,7,1,4,4,5,4,5,2,6,4
1731,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,68,3,11,9,5,5,8,4,4,5,5,4,3,3,3,4,3
1732,4,2,,,1,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65,3,11,9,5,3,5,5,3,6,1,4,2,6,5,6,4
1733,6,3,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,,,1,,,,1,1,1,1,1,,1,1,,,1,,,,1,,1,1,,,1,,1,,1,,,1,1,1,,,,,1,,1,1,,1,,1,,,1,1,,,,1,,,,,1,,,1,1,,1,,,1,1,,1,1,,,,27,3,6,4,7,5,1,6,5,5,5,5,4,6,4,6,4
1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,3,2,,,1,,1,,1,,,,1,,,,,1,,1,,,,,1,1,,,,,,,1,1,,1,,,,,1,,,,,,,,,,1,,,1,,,,,1,,1,,,,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,1,1,,1,1,1,1,1,,1,1,,,,60,3,4,14,1,5,7,5,2,6,6,6,6,7,2,4,3
1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,1,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,70,3,11,9,5,5,8,4,4,4,4,1,4,5,1,4,5
1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,5,3,1,1,1,1,1,,,1,,1,1,,1,1,,1,1,,,,,1,1,1,,,,,,,1,1,,,1,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,1,1,,1,,1,,1,1,1,1,,1,1,1,1,,1,1,,,,1,1,,,39,4,2,1,11,3,2,1,5,6,7,7,5,7,2,3,4
1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,6,4,,1,1,1,1,,,,,,,1,,1,,,,,,1,,,1,,1,,,,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,1,,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,33,3,15,13,10,5,1,5,5,5,5,4,5,4,2,5,4
1747,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,75,3,11,9,5,3,5,6,1,6,1,5,3,7,1,6,1
1748,1,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,47,3,10,1,1,2,5,4,5,7,5,5,5,6,3,5,4
1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,5,1,,,,1,1,,,,,,1,1,1,,,,,,,1,,1,1,1,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,28,1,8,6,3,3,1,4,3,5,4,6,6,6,3,6,3
1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,6,3,,1,1,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,31,3,9,7,1,6,1,4,2,5,3,5,6,4,4,5,4
1757,5,2,,,1,,,,,,1,1,1,,1,,,1,,,,,1,1,1,,,,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,1,,,1,,,1,1,,1,,,,,,,,,1,,,,,51,3,2,1,1,4,2,5,3,6,4,4,2,6,3,6,4
1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,74,5,11,9,5,3,1,5,4,4,5,4,4,5,3,4,4
1764,7,3,,,1,1,1,,,,1,,1,,,1,,1,,1,,1,1,,1,1,1,,,,1,1,,1,,,1,1,,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,1,,,,,1,1,,1,,,,1,1,1,,1,1,,,,,,1,,47,3,15,13,10,4,2,6,3,5,6,4,4,6,4,5,3
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,7,3,,,,,1,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,1,1,,,,33,1,10,8,4,3,1,7,5,7,2,7,7,6,2,7,2
1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,6,2,,1,,1,1,,1,1,1,1,1,1,,1,,,,1,,1,1,1,1,1,,1,,,1,,1,1,,1,1,1,,,1,1,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,1,1,,,1,,1,,1,,,,,1,,1,,1,1,,,1,,1,1,,,1,,52,4,7,5,2,3,1,2,4,5,5,2,2,6,1,4,6
1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,6,3,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,16,2,6,4,7,2,4,2,1,6,2,2,5,1,2,3,1
1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,6,2,,,,,1,,,,,,,1,,,,1,,,,1,,,1,,1,1,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,1,,,1,1,1,,,,,,,,1,,1,1,,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,,34,3,2,1,1,3,1,5,2,7,4,7,3,7,4,4,1
1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,5,3,,1,1,1,1,,,,1,,,,,1,,,,,1,,,1,1,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,,,,,1,,1,,,1,,,,,,1,,,,,1,,,1,1,,1,,,1,,1,1,1,,,,,,,1,,1,,,,67,3,11,9,5,5,1,4,4,5,6,5,3,5,3,3,4
1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,6,3,,,,1,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,,36,3,10,8,4,3,6,4,4,5,6,6,4,6,5,2,2
1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,71,4,11,9,5,3,8,5,2,5,2,2,4,5,1,6,3
1782,1,1,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,67,3,11,9,5,5,8,2,4,4,5,4,6,6,3,5,4
1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
